Average Train Loss 0.00292202 | step 3820 | Epoch 0
Average Train Loss 0.00303047 | step 3830 | Epoch 0
Average Train Loss 0.00273284 | step 3840 | Epoch 0
Average Train Loss 0.00274107 | step 3850 | Epoch 0
Average Train Loss 0.00301069 | step 3860 | Epoch 0
Average Train Loss 0.00280002 | step 3870 | Epoch 0
Average Train Loss 0.00297277 | step 3880 | Epoch 0
Average Train Loss 0.00283035 | step 3890 | Epoch 0
Average Train Loss 0.00323033 | step 3900 | Epoch 0
Average Train Loss 0.00299992 | step 3910 | Epoch 0
Average Train Loss 0.00309386 | step 3920 | Epoch 0
Average Train Loss 0.00281068 | step 3930 | Epoch 0
Average Train Loss 0.00272921 | step 3940 | Epoch 0
Average Train Loss 0.00283850 | step 3950 | Epoch 0
Average Train Loss 0.00256464 | step 3960 | Epoch 0
Average Train Loss 0.00285689 | step 3970 | Epoch 0
Average Train Loss 0.00261400 | step 3980 | Epoch 0
Average Train Loss 0.00282584 | step 3990 | Epoch 0
Average Train Loss 0.00281568 | step 4000 | Epoch 0
Average Validation Loss 0.00281605 | step 4000 | Epoch 0
Average Train Loss 0.00258516 | step 4010 | Epoch 0
Average Train Loss 0.00280850 | step 4020 | Epoch 0
Average Train Loss 0.00290104 | step 4030 | Epoch 0
Average Train Loss 0.00297013 | step 4040 | Epoch 0
Average Train Loss 0.00284069 | step 4050 | Epoch 0
Average Train Loss 0.00311792 | step 4060 | Epoch 0
Average Train Loss 0.00261446 | step 4070 | Epoch 0
Average Train Loss 0.00280023 | step 4080 | Epoch 0
Average Train Loss 0.00264859 | step 4090 | Epoch 0
Average Train Loss 0.00285790 | step 4100 | Epoch 0
Average Train Loss 0.00297071 | step 4110 | Epoch 0
Average Train Loss 0.00283403 | step 4120 | Epoch 0
Average Train Loss 0.00280561 | step 4130 | Epoch 0
Average Train Loss 0.00279789 | step 4140 | Epoch 0
Average Train Loss 0.00293171 | step 4150 | Epoch 0
Average Train Loss 0.00263920 | step 4160 | Epoch 0
Average Train Loss 0.00280642 | step 4170 | Epoch 0
Average Train Loss 0.00275159 | step 4180 | Epoch 0
Average Train Loss 0.00315241 | step 4190 | Epoch 0
Average Train Loss 0.00283284 | step 4200 | Epoch 0
Average Train Loss 0.00263897 | step 4210 | Epoch 0
Average Train Loss 0.00258288 | step 4220 | Epoch 0
Average Train Loss 0.00289692 | step 4230 | Epoch 0
Average Train Loss 0.00287930 | step 4240 | Epoch 0
Average Train Loss 0.00274374 | step 4250 | Epoch 0
Average Train Loss 0.00274400 | step 4260 | Epoch 0
Average Train Loss 0.00261649 | step 4270 | Epoch 0
Average Train Loss 0.00253511 | step 4280 | Epoch 0
Average Train Loss 0.00271622 | step 4290 | Epoch 0
Average Train Loss 0.00283544 | step 4300 | Epoch 0
Average Train Loss 0.00261885 | step 4310 | Epoch 0
Average Train Loss 0.00289883 | step 4320 | Epoch 0
Average Train Loss 0.00289714 | step 4330 | Epoch 0
Average Train Loss 0.00270179 | step 4340 | Epoch 0
Average Train Loss 0.00266130 | step 4350 | Epoch 0
Average Train Loss 0.00261647 | step 4360 | Epoch 0
Average Train Loss 0.00263636 | step 4370 | Epoch 0
Average Train Loss 0.00253136 | step 4380 | Epoch 0
Average Train Loss 0.00271990 | step 4390 | Epoch 0
Average Train Loss 0.00273608 | step 4400 | Epoch 0
Average Train Loss 0.00277160 | step 4410 | Epoch 0
Average Train Loss 0.00269867 | step 4420 | Epoch 0
Average Train Loss 0.00258617 | step 4430 | Epoch 0
Average Train Loss 0.00259951 | step 4440 | Epoch 0
Average Train Loss 0.00296986 | step 4450 | Epoch 0
Average Train Loss 0.00294105 | step 4460 | Epoch 0
Average Train Loss 0.00269250 | step 4470 | Epoch 0
Average Train Loss 0.00281897 | step 4480 | Epoch 0
Average Train Loss 0.00283435 | step 4490 | Epoch 0
Average Train Loss 0.00292270 | step 4500 | Epoch 0
Average Train Loss 0.00299004 | step 4510 | Epoch 0
Average Train Loss 0.00280709 | step 4520 | Epoch 0
Average Train Loss 0.00277763 | step 4530 | Epoch 0
Average Train Loss 0.00269501 | step 4540 | Epoch 0
Average Train Loss 0.00269939 | step 4550 | Epoch 0
Average Train Loss 0.00288805 | step 4560 | Epoch 0
Average Train Loss 0.00276759 | step 4570 | Epoch 0
Average Train Loss 0.00286762 | step 4580 | Epoch 0
Average Train Loss 0.00273697 | step 4590 | Epoch 0
Average Train Loss 0.00280609 | step 4600 | Epoch 0
Average Train Loss 0.00273200 | step 4610 | Epoch 0
Average Train Loss 0.00263470 | step 4620 | Epoch 0
Average Train Loss 0.00272789 | step 4630 | Epoch 0
Average Train Loss 0.00291389 | step 4640 | Epoch 0
Average Train Loss 0.00270285 | step 4650 | Epoch 0
Average Train Loss 0.00268630 | step 4660 | Epoch 0
Average Train Loss 0.00282408 | step 4670 | Epoch 0
Average Train Loss 0.00265973 | step 4680 | Epoch 0
Average Train Loss 0.00257364 | step 4690 | Epoch 0
Average Train Loss 0.00273126 | step 4700 | Epoch 0
Average Train Loss 0.00255980 | step 4710 | Epoch 0
Average Train Loss 0.00262934 | step 4720 | Epoch 0
Average Train Loss 0.00253737 | step 4730 | Epoch 0
Average Train Loss 0.00283203 | step 4740 | Epoch 0
Average Train Loss 0.00272259 | step 4750 | Epoch 0
Average Train Loss 0.00254916 | step 4760 | Epoch 0
Average Train Loss 0.00266683 | step 4770 | Epoch 0
Average Train Loss 0.00249173 | step 4780 | Epoch 0
Average Train Loss 0.00269424 | step 4790 | Epoch 0
Average Train Loss 0.00263626 | step 4800 | Epoch 0
Average Train Loss 0.00266181 | step 4810 | Epoch 0
